epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,2656.77,0.84189,4.82013,0.16173,0.47123,1.01538,0.90436,0.7923,0.8799,0.519,0.29327,0.15067,0.13204,0.0328,1.48608,6.88822,0.09627,0.60855,1.40786,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2701.34,0.83842,4.7882,0.15944,0.47152,1.01305,0.90739,0.78419,0.87531,0.51429,0.29172,0.15308,0.13172,0.03302,1.48432,6.88146,0.09619,0.61434,1.40872,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,2745.93,0.83774,4.7863,0.159,0.47239,1.01133,0.91306,0.77044,0.86426,0.50304,0.28751,0.15646,0.12952,0.03118,1.49661,6.90066,0.09635,0.61831,1.41446,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,2790.52,0.83519,4.75473,0.15831,0.46861,1.01032,0.91571,0.77435,0.86416,0.50678,0.30103,0.15588,0.13082,0.03153,1.49741,6.88418,0.10058,0.61534,1.41843,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,2835.01,0.83257,4.71936,0.15719,0.46831,1.00738,0.91651,0.77222,0.87112,0.5154,0.29059,0.15169,0.13651,0.03347,1.50891,6.91203,0.09875,0.6176,1.42977,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,2879.46,0.82626,4.70949,0.15688,0.46873,1.00553,0.91473,0.77012,0.85458,0.49682,0.29332,0.15111,0.12504,0.03167,1.51403,6.94723,0.09811,0.62528,1.44073,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2924.06,0.82834,4.70096,0.1554,0.46544,1.00744,0.9079,0.7762,0.85495,0.49489,0.28675,0.14894,0.12348,0.03081,1.51438,6.9492,0.09877,0.62151,1.44142,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,2968.65,0.82444,4.65853,0.15424,0.46293,1.00586,0.90307,0.77725,0.85728,0.496,0.29091,0.1527,0.12755,0.03204,1.51012,6.96609,0.09934,0.62084,1.43797,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3013.12,0.81971,4.66683,0.15479,0.46228,1.00266,0.90544,0.78391,0.86194,0.50208,0.28586,0.15411,0.13152,0.03377,1.50171,6.92519,0.09805,0.61782,1.43293,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3057.57,0.81824,4.63525,0.15229,0.46095,1.00093,0.90402,0.7868,0.85913,0.4974,0.28399,0.15559,0.12863,0.03249,1.50898,6.91412,0.09705,0.60979,1.43656,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,3102.17,0.81527,4.62245,0.1538,0.45944,1.00096,0.91611,0.77551,0.86103,0.4995,0.2824,0.15632,0.13202,0.03337,1.51334,6.93815,0.09748,0.61083,1.44662,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,3146.73,0.81849,4.63419,0.15211,0.46037,1.00271,0.92104,0.77233,0.86626,0.50685,0.30089,0.15719,0.13843,0.03353,1.50862,6.92108,0.09992,0.61959,1.43635,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3191.27,0.80922,4.58503,0.15217,0.45697,0.99942,0.9228,0.77102,0.86511,0.50839,0.29108,0.15502,0.13411,0.03346,1.50029,6.92532,0.09958,0.61895,1.43015,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3235.58,0.81399,4.61232,0.15253,0.46159,1.00084,0.90105,0.78087,0.86609,0.5163,0.29174,0.15574,0.14159,0.03409,1.49705,6.91958,0.10071,0.61609,1.43168,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3280.41,0.80522,4.54502,0.15019,0.45548,0.99561,0.91095,0.77144,0.86092,0.50857,0.28811,0.1553,0.13333,0.03232,1.49871,6.91726,0.10012,0.61372,1.43393,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3325.02,0.80432,4.5515,0.15054,0.45411,0.99738,0.90582,0.77435,0.86166,0.5083,0.28609,0.1582,0.13517,0.03263,1.49288,6.88648,0.09911,0.61434,1.4252,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,3369.43,0.805,4.55607,0.15015,0.45503,0.99712,0.90167,0.78448,0.86389,0.50838,0.28804,0.15502,0.13111,0.03226,1.49281,6.90128,0.0984,0.61322,1.42414,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,3413.92,0.80057,4.5111,0.14919,0.45382,0.99281,0.90407,0.77942,0.86459,0.51003,0.2854,0.15125,0.13271,0.03259,1.50356,6.93761,0.09945,0.6159,1.43178,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,3458.36,0.79734,4.52253,0.1496,0.45321,0.99419,0.89547,0.78463,0.86399,0.50647,0.27191,0.14937,0.12561,0.03011,1.50056,6.95074,0.09892,0.61563,1.43064,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,3502.84,0.79672,4.50351,0.14857,0.44868,0.99352,0.90804,0.77493,0.86502,0.50935,0.28086,0.15473,0.13167,0.03075,1.49523,6.91298,0.0979,0.61371,1.42621,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,3547.38,0.79535,4.48475,0.14766,0.45001,0.99125,0.89319,0.78897,0.86523,0.50903,0.28058,0.15328,0.12944,0.03061,1.49585,6.91598,0.09645,0.60848,1.42946,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,3592,0.78923,4.45869,0.14867,0.44619,0.99174,0.8916,0.78927,0.86668,0.50939,0.28535,0.15125,0.13131,0.03106,1.50406,6.93699,0.09732,0.61215,1.4412,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,3636.51,0.78802,4.44063,0.14545,0.44589,0.99223,0.89114,0.7927,0.86817,0.51071,0.2875,0.1498,0.13205,0.03115,1.50264,6.93792,0.09688,0.61348,1.4391,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,3681.11,0.78447,4.40505,0.14608,0.4449,0.9893,0.8944,0.79074,0.86698,0.51035,0.29369,0.15067,0.12911,0.03105,1.50051,6.93499,0.09686,0.61783,1.43863,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,3725.58,0.78236,4.41055,0.1451,0.44426,0.98632,0.90798,0.7798,0.86792,0.51195,0.29457,0.14995,0.12962,0.03155,1.50312,6.93796,0.09727,0.62177,1.43946,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,3770.17,0.77692,4.38054,0.14614,0.44454,0.98492,0.91263,0.77305,0.86676,0.51239,0.29116,0.15053,0.13424,0.03295,1.50498,6.94678,0.09956,0.62466,1.44287,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,3814.66,0.77976,4.38741,0.14443,0.44298,0.98816,0.9052,0.77826,0.86788,0.51472,0.28922,0.15024,0.13705,0.03345,1.50217,6.93423,0.09969,0.62461,1.44109,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,3859.24,0.78148,4.37545,0.14492,0.44416,0.98965,0.90959,0.77406,0.86999,0.51837,0.29059,0.15284,0.14419,0.0353,1.50336,6.92802,0.09884,0.62108,1.44226,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,3903.68,0.7687,4.3385,0.1435,0.43924,0.98474,0.90187,0.77955,0.87132,0.51914,0.28783,0.15227,0.1441,0.03607,1.50572,6.92464,0.0989,0.62151,1.44367,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,3948.06,0.76899,4.32665,0.14217,0.43823,0.98036,0.89832,0.77971,0.86883,0.5188,0.29581,0.15241,0.14521,0.03643,1.50882,6.93076,0.09889,0.62328,1.44771,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,3992.67,0.76445,4.28704,0.1412,0.43442,0.97995,0.9065,0.77537,0.87053,0.51835,0.29553,0.15342,0.14634,0.03689,1.51465,6.94651,0.09822,0.62315,1.45342,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,4037.22,0.76528,4.30394,0.14133,0.43817,0.97919,0.90955,0.76993,0.8694,0.5182,0.29956,0.154,0.14702,0.03668,1.51284,6.9383,0.0965,0.62164,1.45154,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,4082.55,0.71812,3.65139,0.08298,0.39319,0.95882,0.89913,0.77913,0.87026,0.51714,0.2998,0.15328,0.14429,0.03595,1.51039,6.95504,0.0958,0.62364,1.45205,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,4127.21,0.70814,3.5981,0.08323,0.3861,0.95722,0.8958,0.78839,0.8755,0.5211,0.2997,0.15299,0.14624,0.03642,1.50866,6.96101,0.09494,0.62381,1.45174,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,4172,0.70405,3.55779,0.0812,0.37995,0.95492,0.90014,0.78477,0.87632,0.52432,0.30196,0.15502,0.14869,0.0367,1.50633,6.96497,0.09457,0.623,1.45067,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
