epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,420.441,0.39271,3.3958,0.20028,0.30173,0.97288,0.99489,1,0.99491,0.97387,0.96646,0.97143,0.96633,0.33108,0.28372,2.67959,0.0835,0.20571,0.83208,0.0006734,0.0006734,0.0006734
69,426.481,0.38401,3.271,0.19565,0.29609,0.96586,0.99483,1,0.99495,0.97448,0.95692,0.9619,0.95982,0.352,0.27767,2.6795,0.07145,0.20372,0.8272,0.0006536,0.0006536,0.0006536
70,432.519,0.37947,3.25585,0.18914,0.29295,0.96456,0.99526,0.99943,0.99491,0.97583,0.96208,0.96643,0.96342,0.36493,0.27931,2.60993,0.07559,0.20506,0.82898,0.0006338,0.0006338,0.0006338
71,438.614,0.3769,3.27535,0.19188,0.29371,0.96745,0.99487,1,0.995,0.97947,0.98065,0.98571,0.98588,0.37732,0.27971,2.56619,0.07237,0.20153,0.8237,0.000614,0.000614,0.000614
72,449.015,0.37136,3.26982,0.1939,0.28694,0.95896,0.99484,1,0.995,0.97734,0.99484,1,0.995,0.37192,0.28132,2.57986,0.08632,0.20398,0.82748,0.0005942,0.0005942,0.0005942
73,457.766,0.37335,3.17822,0.19873,0.29094,0.96563,0.99469,1,0.995,0.98167,0.97101,0.97619,0.97351,0.35978,0.2773,2.62474,0.06589,0.1996,0.82818,0.0005744,0.0005744,0.0005744
74,466.657,0.36749,3.20743,0.19707,0.28056,0.95878,0.99408,1,0.995,0.98002,0.98461,0.99048,0.99016,0.39701,0.27171,2.49508,0.08221,0.1989,0.81949,0.0005546,0.0005546,0.0005546
75,473.195,0.36829,3.13008,0.19208,0.28263,0.96227,0.99479,1,0.995,0.9719,0.99479,1,0.995,0.40414,0.27754,2.44512,0.07776,0.19798,0.82081,0.0005348,0.0005348,0.0005348
76,479.392,0.37094,3.07818,0.19976,0.28264,0.96126,0.99052,1,0.995,0.97849,0.97637,0.98571,0.9869,0.40292,0.27393,2.43327,0.07006,0.19749,0.82348,0.000515,0.000515,0.000515
77,485.574,0.37541,3.04864,0.19322,0.28518,0.96757,0.99492,1,0.995,0.97376,0.99019,0.99524,0.99289,0.42056,0.2785,2.37725,0.07469,0.19943,0.82134,0.0004952,0.0004952,0.0004952
