epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,4923.51,0.46773,1.29902,0.11305,0.18766,0.00483,0.32485,0.95412,0.83543,0.89727,0.6733,0.72908,0.56635,0.58557,0.18539,0.87761,3.94742,0.08965,0.51161,0.01244,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,5229.58,0.46648,1.30359,0.11326,0.18516,0.00483,0.32529,0.94822,0.83307,0.897,0.67668,0.72699,0.56164,0.58193,0.18207,0.87184,3.96892,0.09007,0.51473,0.01235,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,5536.09,0.46645,1.30603,0.11315,0.18857,0.00482,0.31655,0.94864,0.84034,0.91034,0.6939,0.72201,0.56469,0.60064,0.19116,0.86787,3.97808,0.08967,0.51038,0.01228,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,5841.97,0.46228,1.28527,0.11177,0.19058,0.00479,0.30939,0.94921,0.83772,0.913,0.69889,0.70146,0.57108,0.60387,0.19595,0.87184,3.99302,0.08966,0.51346,0.01236,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,6149.89,0.45937,1.26971,0.11151,0.1855,0.00476,0.29481,0.94637,0.83986,0.91138,0.69219,0.71914,0.56469,0.59945,0.19208,0.87589,3.99464,0.08938,0.51457,0.01243,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,6456.82,0.454,1.25957,0.11025,0.18291,0.00466,0.25662,0.94877,0.83555,0.90652,0.68833,0.71812,0.56018,0.5916,0.18801,0.8741,4.00705,0.08933,0.51957,0.0124,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,6763.51,0.45175,1.24228,0.10904,0.1838,0.00466,0.2511,0.94923,0.83263,0.90755,0.69324,0.70828,0.56047,0.59448,0.19093,0.87168,4.01706,0.08943,0.52591,0.01238,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,7069.53,0.44822,1.22372,0.1091,0.17675,0.0046,0.2107,0.94828,0.83261,0.90807,0.69637,0.71243,0.56175,0.59688,0.1927,0.86679,4.01547,0.08918,0.52448,0.01229,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,7376.05,0.44665,1.21796,0.10841,0.1782,0.00458,0.2234,0.95215,0.83409,0.91011,0.70006,0.7127,0.56426,0.59792,0.19375,0.86201,4.01809,0.08936,0.51631,0.0122,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,7681.3,0.44724,1.20231,0.10706,0.18076,0.00457,0.20538,0.95217,0.83438,0.91243,0.70294,0.71033,0.55931,0.59897,0.19494,0.86345,4.02185,0.08888,0.51876,0.01221,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
